dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,5.613769,39.569033,0.001000,0.200000,20.000000,2000.000000,6.281979
0.010000,5.613490,39.569033,0.001280,0.027965,-17.203542,-3720.354249,6.282000
0.010000,5.612861,39.569034,0.001909,0.062917,3.495214,2069.875642,6.282049
0.010000,5.611742,39.569035,0.003027,0.111840,4.892298,139.708439,6.282135
0.010000,5.609995,39.569037,0.004774,0.174718,6.287846,139.554781,6.282269
0.010000,5.607480,39.569039,0.007290,0.251527,7.680876,139.303034,6.282463
0.010000,5.604057,39.569041,0.010712,0.342229,9.070161,138.928469,6.282726
0.010000,5.599590,39.569042,0.015180,0.446771,10.454223,138.406154,6.283069
0.010000,5.653356,39.569051,0.068946,5.376599,492.982778,48252.855540,0.000319
0.010000,5.746384,39.569105,0.161974,9.302885,392.628665,-10035.411266,0.000855
0.010000,5.858956,39.569238,0.274546,11.257172,195.428696,-19719.996907,0.001503
0.010000,5.992935,39.569491,0.408526,13.397954,214.078214,1864.951761,0.002274
0.010000,6.150194,39.569920,0.565784,15.725868,232.791376,1871.316225,0.003177
0.010000,6.332593,39.570595,0.748185,18.240085,251.421705,1863.032911,0.004224
0.010000,6.542006,39.571605,0.957601,20.941538,270.145240,1872.353436,0.005422
0.010000,6.780305,39.573059,1.195904,23.830308,288.877053,1873.181323,0.006784
0.010000,7.049362,39.575091,1.464969,26.906488,307.617963,1874.091051,0.008317
0.010000,7.351063,39.577859,1.766682,30.171332,326.484409,1886.644519,0.010031
0.010000,7.687277,39.581552,2.102916,33.623431,345.209924,1872.551518,0.011936
0.010000,8.059899,39.586392,2.475570,37.265354,364.192333,1898.240916,0.014040
0.010000,8.470808,39.592637,2.886527,41.095725,383.037095,1884.476227,0.016351
0.010000,8.921898,39.600584,3.337686,45.115918,402.019222,1898.212715,0.018877
0.010000,9.415064,39.610573,3.830954,49.326762,421.084455,1906.523215,0.021626
0.010000,9.952205,39.622992,4.368239,53.728479,440.171655,1908.720089,0.024604
