dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,5.582397,13.569051,0.001000,0.200000,20.000000,2000.000000,6.281979
0.010000,5.582677,13.569051,0.001280,0.027965,-17.203542,-3720.354249,6.282000
0.010000,5.583306,13.569050,0.001909,0.062917,3.495214,2069.875642,6.282049
0.010000,5.584425,13.569049,0.003027,0.111840,4.892298,139.708439,6.282135
0.010000,5.586172,13.569047,0.004774,0.174718,6.287846,139.554781,6.282269
0.010000,5.588687,13.569045,0.007290,0.251527,7.680876,139.303034,6.282463
0.010000,5.592109,13.569043,0.010712,0.342229,9.070161,138.928469,6.282726
0.010000,5.596577,13.569042,0.015180,0.446771,10.454223,138.406154,6.283069
0.010000,5.661645,13.569052,0.080248,6.506836,606.006560,59555.233730,0.000319
0.010000,5.768617,13.569115,0.187220,10.697160,419.032412,-18697.414816,0.000855
0.010000,5.898044,13.569268,0.316647,12.942729,224.556872,-19447.554005,0.001503
0.010000,6.052061,13.569558,0.470664,15.401740,245.901109,2134.423698,0.002274
0.010000,6.232807,13.570051,0.651410,18.074598,267.285775,2138.466600,0.003177
0.010000,6.442405,13.570827,0.861010,20.959961,288.536297,2125.052231,0.004224
0.010000,6.682986,13.571987,1.101594,24.058443,309.848169,2131.187156,0.005422
0.010000,6.956677,13.573658,1.375290,27.369605,331.116231,2126.806260,0.006784
0.010000,7.265598,13.575990,1.684220,30.892937,352.333192,2121.696073,0.008317
0.010000,7.611875,13.579167,2.030511,34.629174,373.623681,2129.048863,0.010031
0.010000,7.997611,13.583404,2.416270,38.575894,394.671983,2104.830287,0.011936
0.010000,8.424926,13.588955,2.843622,42.735133,415.923924,2125.194017,0.014040
0.010000,8.895914,13.596113,3.314665,47.104284,436.915149,2099.122584,0.016351
0.010000,9.412672,13.605216,3.831502,51.683769,457.948513,2103.336401,0.018877
0.010000,9.977289,13.616653,4.396235,56.473249,478.947959,2099.944562,0.021626
0.010000,10.591840,13.630861,5.010950,61.471536,499.828667,2088.070749,0.024604
0.010000,11.258392,13.648337,5.677731,66.678096,520.656015,2082.734871,0.027818
0.010000,11.977930,13.669601,6.397584,71.985288,530.719239,1006.322339,0.031268
0.010000,12.750366,13.695187,7.170444,77.285960,530.067204,-65.203475,0.034950
0.010000,13.575601,13.725656,7.996241,82.579702,529.374137,-69.306692,0.038857
0.010000,14.453521,13.761604,8.874896,87.865565,528.586370,-78.776742,0.042985
0.010000,15.384005,13.803651,9.806330,93.143343,527.777770,-80.859918,0.047326
0.010000,16.366912,13.852446,10.790447,98.411776,526.843281,-93.448904,0.051873
0.010000,17.402097,13.908661,11.827157,103.670991,525.921531,-92.175050,0.056620
0.010000,18.488331,13.972923,12.915290,108.813270,514.227933,-1169.359790,0.061554
0.010000,19.623322,14.045786,14.052618,113.732797,491.952694,-2227.523871,0.066656
0.010000,20.804770,14.127777,15.236908,118.428954,469.615617,-2233.707770,0.071909
0.010000,22.030371,14.219386,16.465928,122.902030,447.307653,-2230.796388,0.077295
0.010000,23.297821,14.321066,17.737449,127.152135,425.010491,-2229.716186,0.082797
0.010000,24.604812,14.433223,19.049244,131.179465,402.733043,-2227.744832,0.088397
0.010000,25.949037,14.556217,20.399084,134.983980,380.451458,-2228.158435,0.094077
0.010000,27.328191,14.690355,21.784746,138.566199,358.221882,-2222.957619,0.099820
0.010000,28.739974,14.835890,23.204011,141.926532,336.033320,-2218.856151,0.105610
