dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,5.862656,311.219787,0.001000,0.200000,20.000000,2000.000000,0.001058
0.010000,5.862893,311.219788,0.001238,0.023765,-17.623458,-3762.345797,0.001040
0.010000,5.863428,311.219788,0.001772,0.053469,2.970377,2059.383514,0.000999
0.010000,5.864379,311.219789,0.002723,0.095046,4.157688,118.731079,0.000926
0.010000,5.865863,311.219790,0.004208,0.148483,5.343710,118.602158,0.000812
0.010000,5.868001,311.219792,0.006345,0.213759,6.527619,118.390969,0.000647
0.010000,5.870910,311.219794,0.009254,0.290843,7.708387,118.076816,0.000423
0.010000,5.874706,311.219795,0.013051,0.379691,8.884776,117.638876,0.000131
0.010000,5.931717,311.219788,0.070061,5.701067,532.137609,52325.283332,6.282947
0.010000,6.037643,311.219739,0.175987,10.592549,489.148165,-4298.944421,6.282491
0.010000,6.165803,311.219615,0.304148,12.816097,222.354778,-26679.338682,6.281941
0.010000,6.318318,311.219375,0.456663,15.251495,243.539821,2118.504241,6.281286
0.010000,6.497299,311.218966,0.635644,17.898143,264.664786,2112.496556,6.280518
0.010000,6.704855,311.218320,0.843201,20.755686,285.754311,2108.952445,6.279629
0.010000,6.943097,311.217351,1.081445,23.824401,306.871540,2111.722923,6.278610
0.010000,7.214133,311.215954,1.352484,27.103935,327.953368,2108.182785,6.277453
0.010000,7.520065,311.214001,1.658423,30.593874,348.993882,2104.051406,6.276150
0.010000,7.862994,311.211339,2.001362,34.293939,370.006527,2101.264519,6.274693
0.010000,8.245025,311.207785,2.383409,38.204679,391.074016,2106.748921,6.273074
0.010000,8.668241,311.203127,2.806651,42.324204,411.952483,2087.846628,6.271286
0.010000,9.134734,311.197118,3.273183,46.653172,432.896805,2094.432233,6.269322
0.010000,9.646587,311.189472,3.785093,51.191051,453.787925,2089.111971,6.267175
0.010000,10.205875,311.179863,4.344464,55.937048,474.599708,2081.178309,6.264839
0.010000,10.814663,311.167921,4.953369,60.890503,495.345485,2074.577716,6.262308
0.010000,11.475017,311.153230,5.613886,66.051699,516.119629,2077.414419,6.259576
0.010000,12.187925,311.135348,6.327018,71.313209,526.150918,1003.128864,6.256643
0.010000,12.953315,311.113828,7.092711,76.569304,525.609584,-54.133346,6.253512
0.010000,13.771111,311.088193,7.910908,81.819692,525.038716,-57.086873,6.250189
0.010000,14.641224,311.057941,8.781547,87.063876,524.418453,-62.026299,6.246679
0.010000,15.563555,311.022547,9.704557,92.301023,523.714704,-70.374901,6.242986
0.010000,16.537998,310.981462,10.679866,97.530881,522.985793,-72.891073,6.239116
0.010000,17.564436,310.934117,11.707395,102.752933,522.205154,-78.063928,6.235075
0.010000,18.641689,310.879978,12.786008,107.861270,510.833730,-1137.142377,6.230874
0.010000,19.767523,310.818572,13.913515,112.750743,488.947317,-2188.641316,6.226527
0.010000,20.939694,310.749450,15.087723,117.420723,466.998035,-2194.928128,6.222049
0.010000,22.155959,310.672190,16.306438,121.871578,445.085432,-2191.260294,6.217456
0.010000,23.414071,310.586402,17.567472,126.103373,423.179503,-2190.592987,6.212761
0.010000,24.711785,310.491734,18.868635,130.116261,401.288842,-2189.066053,6.207979
0.010000,26.046857,310.387872,20.207741,133.910617,379.435591,-2185.325068,6.203125
0.010000,27.417041,310.274542,21.582604,137.486287,357.566977,-2186.861471,6.198212
0.010000,28.820097,310.151520,22.991043,140.843912,335.762506,-2180.447052,6.193255
0.010000,30.253790,310.018623,24.430881,143.983851,313.993936,-2176.857008,6.188267
0.010000,31.715888,309.875722,25.899946,146.906465,292.261346,-2173.259034,6.183262
0.010000,33.204167,309.722734,27.396068,149.612202,270.573686,-2168.765934,6.178253
0.010000,34.716412,309.559629,28.917084,152.101587,248.938542,-2163.514482,6.173251
0.010000,36.250417,309.386426,30.460836,154.375216,227.362917,-2157.562425,6.168270
0.010000,37.803987,309.203197,32.025174,156.433774,205.855760,-2150.715691,6.163321
0.010000,39.374938,309.010065,33.607951,158.277761,184.398677,-2145.708293,6.158415
0.010000,40.961097,308.807202,35.207031,159.907971,163.021004,-2137.767353,6.153562
0.010000,42.560308,308.594829,36.820282,161.325069,141.709834,-2131.116985,6.148774
0.010000,44.170427,308.373216,38.445580,162.529828,120.475866,-2123.396856,6.144058
0.010000,45.789325,308.142678,40.080810,163.523003,99.317533,-2115.833253,6.139425
0.010000,47.414888,307.903578,41.723864,164.305348,78.234520,-2108.301323,6.134883
0.010000,49.045019,307.656316,43.372640,164.877693,57.234452,-2100.006762,6.130438
0.010000,50.677636,307.401337,45.025049,165.240867,36.317459,-2091.699322,6.126099
0.010000,52.310675,307.139122,46.679006,165.395675,15.480738,-2083.672080,6.121871
0.010000,53.942086,306.870187,48.332435,165.342940,-5.273499,-2075.423742,6.117761
0.010000,55.570854,306.594907,49.984302,165.186681,-15.625889,-1035.238946,6.113771
0.010000,57.196988,306.313495,51.634606,165.030425,-15.625558,0.033040,6.109902
0.010000,58.820500,306.026163,53.283348,164.874210,-15.621472,0.408610,6.106152
0.010000,60.441404,305.733121,54.930529,164.718071,-15.613982,0.748980,6.102523
0.010000,62.059718,305.434578,56.576150,164.562036,-15.603430,1.055224,6.099014
0.010000,63.675460,305.130743,58.220211,164.406135,-15.590146,1.328456,6.095624
0.010000,65.288652,304.821823,59.862715,164.250389,-15.574587,1.555865,6.092355
0.010000,66.899316,304.508024,61.503662,164.094763,-15.562643,1.194416,6.089205
0.010000,68.507479,304.189551,63.143056,163.939391,-15.537181,2.546198,6.086174
0.010000,70.113167,303.866609,64.780899,163.784231,-15.515940,2.124105,6.083263
0.010000,71.716410,303.539399,66.417192,163.629297,-15.493443,2.249711,6.080472
0.010000,73.317238,303.208123,68.051938,163.474597,-15.469948,2.349433,6.077799
0.010000,74.915684,302.872982,69.685139,163.320140,-15.445704,2.424487,6.075245
