dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,5.876414,298.219795,0.001000,0.200000,20.000000,2000.000000,0.001058
0.010000,5.876414,298.219795,0.005000,0.600000,40.000000,2000.000000,0.001040
0.010000,5.876414,298.219795,0.014000,1.200000,60.000000,2000.000000,0.000999
0.010000,5.876414,298.219795,0.030000,2.000000,80.000000,2000.000000,0.000926
0.010000,5.876414,298.219795,0.055000,3.000000,100.000000,2000.000000,0.000812
0.010000,5.876414,298.219795,0.091000,4.200000,120.000000,2000.000000,0.000647
0.010000,5.876414,298.219795,0.140000,5.600000,140.000000,2000.000000,0.000423
0.010000,5.876414,298.219795,0.204000,7.200000,160.000000,2000.000000,0.000131
0.010000,5.928622,298.219789,0.285000,9.000000,180.000000,2000.000000,6.282947
0.010000,6.028623,298.219742,0.385000,11.000000,200.000000,2000.000000,6.282491
0.010000,6.149621,298.219625,0.506000,13.200000,220.000000,2000.000000,6.281941
0.010000,6.293622,298.219398,0.650000,15.600000,240.000000,2000.000000,6.281286
0.010000,6.462622,298.219012,0.819000,18.200000,260.000000,2000.000000,6.280518
0.010000,6.658621,298.218402,1.015000,21.000000,280.000000,2000.000000,6.279629
0.010000,6.883619,298.217487,1.240000,24.000000,300.000000,2000.000000,6.278610
0.010000,7.139616,298.216168,1.496000,27.200000,320.000000,2000.000000,6.277453
0.010000,7.428610,298.214323,1.785000,30.600000,340.000000,2000.000000,6.276150
0.010000,7.752597,298.211808,2.109000,34.200000,360.000000,2000.000000,6.274693
0.010000,8.113584,298.208450,2.470000,38.000000,380.000000,2000.000000,6.273074
0.010000,8.513560,298.204048,2.870000,42.000000,400.000000,2000.000000,6.271286
0.010000,8.954522,298.198367,3.311000,46.200000,420.000000,2000.000000,6.269322
0.010000,9.438468,298.191138,3.795000,50.600000,440.000000,2000.000000,6.267175
0.010000,9.967390,298.182051,4.324000,55.200000,460.000000,2000.000000,6.264839
0.010000,10.543277,298.170754,4.900000,60.000000,480.000000,2000.000000,6.262308
0.010000,11.168124,298.156853,5.525000,65.000000,500.000000,2000.000000,6.259576
0.010000,11.842912,298.139927,6.200000,70.000000,500.000000,0.000000,6.256643
0.010000,12.567624,298.119550,6.925000,75.000000,500.000000,0.000000,6.253512
0.010000,13.342243,298.095269,7.700000,80.000000,500.000000,0.000000,6.250189
0.010000,14.166745,298.066603,8.525000,85.000000,500.000000,0.000000,6.246679
0.010000,15.041101,298.033050,9.400000,90.000000,500.000000,0.000000,6.242986
0.010000,15.965279,297.994084,10.325000,95.000000,500.000000,0.000000,6.239116
0.010000,16.939242,297.949159,11.300000,100.000000,500.000000,0.000000,6.235075
0.010000,17.961949,297.897761,12.324000,104.800000,480.000000,-2000.000000,6.230874
0.010000,19.031360,297.839432,13.395000,109.400000,460.000000,-2000.000000,6.226527
0.010000,20.145424,297.773736,14.511000,113.800000,440.000000,-2000.000000,6.222049
0.010000,21.302091,297.700262,15.670000,118.000000,420.000000,-2000.000000,6.217456
0.010000,22.499309,297.618626,16.870000,122.000000,400.000000,-2000.000000,6.212761
0.010000,23.735024,297.528481,18.109000,125.800000,380.000000,-2000.000000,6.207979
0.010000,25.007179,297.429513,19.385000,129.400000,360.000000,-2000.000000,6.203125
0.010000,26.313716,297.321447,20.696000,132.800000,340.000000,-2000.000000,6.198212
0.010000,27.652577,297.204053,22.040000,136.000000,320.000000,-2000.000000,6.193255
0.010000,29.021706,297.077141,23.415000,139.000000,300.000000,-2000.000000,6.188267
0.010000,30.419046,296.940568,24.819000,141.800000,280.000000,-2000.000000,6.183262
0.010000,31.842544,296.794239,26.250000,144.400000,260.000000,-2000.000000,6.178253
0.010000,33.290146,296.638105,27.706000,146.800000,240.000000,-2000.000000,6.173251
0.010000,34.759806,296.472167,29.185000,149.000000,220.000000,-2000.000000,6.168270
0.010000,36.249480,296.296474,30.685000,151.000000,200.000000,-2000.000000,6.163321
0.010000,37.757127,296.111124,32.204000,152.800000,180.000000,-2000.000000,6.158415
0.010000,39.280715,295.916263,33.740000,154.400000,160.000000,-2000.000000,6.153562
0.010000,40.818215,295.712084,35.291000,155.800000,140.000000,-2000.000000,6.148774
0.010000,42.367607,295.498829,36.855000,157.000000,120.000000,-2000.000000,6.144058
0.010000,43.926874,295.276782,38.430000,158.000000,100.000000,-2000.000000,6.139425
0.010000,45.494011,295.046275,40.014000,158.800000,80.000000,-2000.000000,6.134883
0.010000,47.067017,294.807678,41.605000,159.400000,60.000000,-2000.000000,6.130438
0.010000,48.643900,294.561403,43.201000,159.800000,40.000000,-2000.000000,6.126099
0.010000,50.222676,294.307900,44.800000,160.000000,20.000000,-2000.000000,6.121871
0.010000,51.801368,294.047655,46.400000,160.000000,0.000000,-2000.000000,6.117761
0.010000,53.378993,293.781018,48.000000,160.000000,0.000000,0.000000,6.113771
0.010000,54.955558,293.508184,49.600000,160.000000,0.000000,0.000000,6.109902
0.010000,56.531073,293.229346,51.200000,160.000000,0.000000,0.000000,6.106152
0.010000,58.105548,292.944697,52.800000,160.000000,0.000000,0.000000,6.102523
0.010000,59.678998,292.654430,54.400000,160.000000,0.000000,0.000000,6.099014
0.010000,61.251437,292.358738,56.000000,160.000000,0.000000,0.000000,6.095624
0.010000,62.822882,292.057812,57.600000,160.000000,0.000000,0.000000,6.092355
0.010000,64.393354,291.751843,59.200000,160.000000,0.000000,0.000000,6.089205
0.010000,65.962872,291.441023,60.800000,160.000000,0.000000,0.000000,6.086174
0.010000,67.531461,291.125542,62.400000,160.000000,0.000000,0.000000,6.083263
0.010000,69.099143,290.805589,64.000000,160.000000,0.000000,0.000000,6.080472
0.010000,70.665945,290.481354,65.600000,160.000000,0.000000,0.000000,6.077799
0.010000,72.231895,290.153026,67.200000,160.000000,0.000000,0.000000,6.075245
0.010000,73.797021,289.820792,68.800000,160.000000,0.000000,0.000000,6.072809
0.010000,75.361354,289.484840,70.400000,160.000000,0.000000,0.000000,6.070492
0.010000,76.924924,289.145357,72.000000,160.000000,0.000000,0.000000,6.068294
0.010000,78.487764,288.802530,73.600000,160.000000,0.000000,0.000000,6.066213
0.010000,80.049908,288.456543,75.200000,160.000000,0.000000,0.000000,6.064250
0.010000,81.611389,288.107583,76.800000,160.000000,0.000000,0.000000,6.062405
0.010000,83.172245,287.755834,78.400000,160.000000,0.000000,0.000000,6.060678
0.010000,84.732512,287.401481,80.000000,160.000000,0.000000,0.000000,6.059067
0.010000,86.292228,287.044707,81.600000,160.000000,0.000000,0.000000,6.057574
0.010000,87.851430,286.685696,83.200000,160.000000,0.000000,0.000000,6.056198
0.010000,89.410157,286.324631,84.800000,160.000000,0.000000,0.000000,6.054939
0.010000,90.968450,285.961693,86.400000,160.000000,0.000000,0.000000,6.053796
0.010000,92.526349,285.597067,88.000000,160.000000,0.000000,0.000000,6.052770
0.010000,94.083894,285.230932,89.600000,160.000000,0.000000,0.000000,6.051860
0.010000,95.641126,284.863472,91.200000,160.000000,0.000000,0.000000,6.051067
0.010000,97.198088,284.494867,92.800000,160.000000,0.000000,0.000000,6.050390
0.010000,98.754821,284.125298,94.400000,160.000000,0.000000,0.000000,6.049829
0.010000,100.311368,283.754946,96.000000,160.000000,0.000000,0.000000,6.049384
0.010000,101.867773,283.383992,97.600000,160.000000,0.000000,0.000000,6.049055
0.010000,103.424076,283.012617,99.200000,160.000000,0.000000,0.000000,6.048843
0.010000,104.980322,282.641001,100.800000,160.000000,0.000000,0.000000,6.048746
0.010000,106.536554,282.269324,102.400000,160.000000,0.000000,0.000000,6.048765
0.010000,108.092814,281.897767,104.000000,160.000000,0.000000,0.000000,6.048900
0.010000,109.649146,281.526510,105.600000,160.000000,0.000000,0.000000,6.049151
0.010000,111.205592,281.155735,107.200000,160.000000,0.000000,0.000000,6.049518
0.010000,112.762196,280.785621,108.800000,160.000000,0.000000,0.000000,6.050001
0.010000,114.319000,280.416349,110.400000,160.000000,0.000000,0.000000,6.050600
0.010000,115.876046,280.048100,112.000000,160.000000,0.000000,0.000000,6.051315
0.010000,117.433377,279.681056,113.600000,160.000000,0.000000,0.000000,6.052147
0.010000,118.991033,279.315398,115.200000,160.000000,0.000000,0.000000,6.053095
0.010000,120.549057,278.951307,116.800000,160.000000,0.000000,0.000000,6.054159
0.010000,122.107488,278.588966,118.400000,160.000000,0.000000,0.000000,6.055340
0.010000,123.666368,278.228556,120.000000,160.000000,0.000000,0.000000,6.056638
0.010000,125.225734,277.870261,121.600000,160.000000,0.000000,0.000000,6.058053
0.010000,126.785627,277.514263,123.200000,160.000000,0.000000,0.000000,6.059584
0.010000,128.346084,277.160747,124.800000,160.000000,0.000000,0.000000,6.061233
0.010000,129.907143,276.809895,126.400000,160.000000,0.000000,0.000000,6.063000
0.010000,131.468838,276.461893,128.000000,160.000000,0.000000,0.000000,6.064883
0.010000,133.031207,276.116926,129.600000,160.000000,0.000000,0.000000,6.066885
0.010000,134.594284,275.775178,131.200000,160.000000,0.000000,0.000000,6.069004
0.010000,136.158100,275.436837,132.800000,160.000000,0.000000,0.000000,6.071242
0.010000,137.722690,275.102088,134.400000,160.000000,0.000000,0.000000,6.073598
0.010000,139.288084,274.771118,136.000000,160.000000,0.000000,0.000000,6.076072
0.010000,140.854312,274.444116,137.600000,160.000000,0.000000,0.000000,6.078665
0.010000,142.421401,274.121270,139.200000,160.000000,0.000000,0.000000,6.081377
0.010000,143.989379,273.802767,140.800000,160.000000,0.000000,0.000000,6.084208
0.010000,145.558271,273.488799,142.400000,160.000000,0.000000,0.000000,6.087158
0.010000,147.128101,273.179554,144.000000,160.000000,0.000000,0.000000,6.090228
0.010000,148.698891,272.875224,145.600000,160.000000,0.000000,0.000000,6.093417
0.010000,150.270661,272.575999,147.200000,160.000000,0.000000,0.000000,6.096726
0.010000,151.843430,272.282071,148.800000,160.000000,0.000000,0.000000,6.100155
0.010000,153.417216,271.993631,150.400000,160.000000,0.000000,0.000000,6.103704
0.010000,154.992031,271.710873,152.000000,160.000000,0.000000,0.000000,6.107373
0.010000,156.567890,271.433990,153.600000,160.000000,0.000000,0.000000,6.111162
0.010000,158.144804,271.163174,155.200000,160.000000,0.000000,0.000000,6.115071
0.010000,159.722779,270.898619,156.800000,160.000000,0.000000,0.000000,6.119100
0.010000,161.301824,270.640520,158.400000,160.000000,0.000000,0.000000,6.123250
0.010000,162.881941,270.389070,160.000000,160.000000,0.000000,0.000000,6.127520
0.010000,164.463131,270.144464,161.600000,160.000000,0.000000,0.000000,6.131910
0.010000,166.045395,269.906897,163.200000,160.000000,0.000000,0.000000,6.136419
0.010000,167.628727,269.676563,164.800000,160.000000,0.000000,0.000000,6.141049
0.010000,169.213122,269.453656,166.400000,160.000000,0.000000,0.000000,6.145798
0.010000,170.798570,269.238371,168.000000,160.000000,0.000000,0.000000,6.150667
0.010000,172.385060,269.030902,169.600000,160.000000,0.000000,0.000000,6.155655
0.010000,173.972577,268.831442,171.200000,160.000000,0.000000,0.000000,6.160761
0.010000,175.561103,268.640186,172.800000,160.000000,0.000000,0.000000,6.165986
0.010000,177.150618,268.457326,174.400000,160.000000,0.000000,0.000000,6.171328
0.010000,178.741096,268.283053,176.000000,160.000000,0.000000,0.000000,6.176788
0.010000,180.332512,268.117560,177.600000,160.000000,0.000000,0.000000,6.182364
0.010000,181.924835,267.961036,179.200000,160.000000,0.000000,0.000000,6.188057
