dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,5.890172,285.219802,0.001000,0.200000,20.000000,2000.000000,0.001058
0.010000,5.889935,285.219802,0.001238,0.023765,-17.623458,-3762.345797,0.001040
0.010000,5.889400,285.219801,0.001772,0.053469,2.970377,2059.383514,0.000999
0.010000,5.888449,285.219800,0.002723,0.095046,4.157688,118.731079,0.000926
0.010000,5.886965,285.219799,0.004208,0.148483,5.343710,118.602158,0.000812
0.010000,5.884827,285.219797,0.006345,0.213759,6.527619,118.390969,0.000647
0.010000,5.881919,285.219796,0.009254,0.290843,7.708387,118.076816,0.000423
0.010000,5.878122,285.219795,0.013051,0.379691,8.884776,117.638876,0.000131
0.010000,5.925527,285.219789,0.060456,4.740537,436.084566,42719.978963,6.282947
0.010000,6.019603,285.219745,0.154532,9.407612,466.707535,3062.296933,6.282491
0.010000,6.133439,285.219635,0.268368,11.383637,197.602465,-26910.506989,6.281941
0.010000,6.268925,285.219422,0.403854,13.548565,216.492876,1889.041037,6.281286
0.010000,6.427946,285.219059,0.562875,15.902109,235.354362,1886.148688,6.280518
0.010000,6.612387,285.218485,0.747318,18.444243,254.213373,1885.901051,6.279629
0.010000,6.824141,285.217624,0.959073,21.175553,273.131053,1891.767986,6.278610
0.010000,7.065099,285.216382,1.200034,24.096122,292.056844,1892.579158,6.277453
0.010000,7.337154,285.214645,1.472095,27.206037,310.991483,1893.463837,6.276150
0.010000,7.642200,285.212276,1.777150,30.505571,329.953438,1896.195476,6.274693
0.010000,7.982144,285.209114,2.117108,33.995805,349.023402,1906.996476,6.273074
0.010000,8.358878,285.204968,2.493866,37.675726,367.992067,1896.866508,6.271286
0.010000,8.774310,285.199616,2.909332,41.546670,387.094475,1910.240754,6.269322
0.010000,9.230349,285.192804,3.365423,45.609007,406.233655,1913.918044,6.267175
0.010000,9.728906,285.184238,3.864052,49.862966,425.395914,1916.225817,6.264839
0.010000,10.271891,285.173587,4.407142,54.309000,444.603405,1920.749169,6.262308
0.010000,10.861230,285.160476,4.996627,58.948514,463.951422,1934.801717,6.259576
0.010000,11.497898,285.144506,5.633495,63.686808,473.829395,987.797236,6.256643
0.010000,12.181933,285.125273,6.317800,68.430469,474.366095,53.670017,6.253512
0.010000,12.913374,285.102345,7.049601,73.180114,474.964456,59.836100,6.250189
0.010000,13.692266,285.075265,7.828963,77.936203,475.608878,64.442208,6.246679
